// Spherical Spiral - a curve winding 8 times around a sphere (radius=10)
// Select all coordinate lines below and run VCAG to see the 3D view

0.0, 0.0, 10.0
0.1033, 0.0175, 9.9995
0.1978, 0.0689, 9.9978
0.2753, 0.1513, 9.9951
0.3282, 0.2601, 9.9912
0.3502, 0.3889, 9.9863
0.3364, 0.5302, 9.9803
0.2838, 0.6752, 9.9731
0.1911, 0.8147, 9.9649
0.0591, 0.9392, 9.9556
-0.1093, 1.0396, 9.9452
-0.3091, 1.107, 9.9337
-0.5336, 1.134, 9.9211
-0.7745, 1.1144, 9.9075
-1.0221, 1.0437, 9.8927
-1.2656, 0.9195, 9.8769
-1.4938, 0.7415, 9.86
-1.6953, 0.5118, 9.842
-1.859, 0.2349, 9.8229
-1.9748, -0.0828, 9.8027
-2.0337, -0.4323, 9.7815
-2.0282, -0.803, 9.7592
-1.9532, -1.1829, 9.7358
-1.8057, -1.5586, 9.7113
-1.5852, -1.9162, 9.6858
-1.2941, -2.2414, 9.6593
-0.9374, -2.5205, 9.6316
-0.5228, -2.7405, 9.6029
-0.0605, -2.8897, 9.5732
0.4368, -2.9583, 9.5424
0.9549, -2.9389, 9.5106
1.4777, -2.8266, 9.4777
1.9883, -2.6195, 9.4438
2.4693, -2.3188, 9.4088
2.9033, -1.929, 9.3728
3.2739, -1.4576, 9.3358
3.5656, -0.9155, 9.2978
3.7652, -0.3162, 9.2587
3.8616, 0.3243, 9.2186
3.8467, 0.9877, 9.1775
3.7157, 1.6543, 9.1355
3.4673, 2.3037, 9.0924
3.1038, 2.9147, 9.0483
2.6314, 3.4667, 9.0032
2.06, 3.9404, 8.9571
1.4029, 4.3177, 8.9101
0.6768, 4.5833, 8.862
-0.099, 4.7245, 8.813
-0.9027, 4.7322, 8.7631
-1.7112, 4.6012, 8.7121
-2.5, 4.3301, 8.6603
-3.2448, 3.9222, 8.6074
-3.9214, 3.3849, 8.5536
-4.5074, 2.7298, 8.4989
-4.982, 1.9725, 8.4433
-5.3274, 1.1324, 8.3867
-5.5291, 0.2317, 8.3292
-5.5765, -0.7045, 8.2708
-5.4636, -1.6495, 8.2115
-5.1887, -2.5757, 8.1513
-4.7553, -3.4549, 8.0902
-4.1716, -4.2599, 8.0282
-3.4505, -4.9647, 7.9653
-2.6096, -5.5457, 7.9016
-1.6704, -5.9827, 7.8369
-0.6578, -6.2587, 7.7715
0.4002, -6.3617, 7.7051
1.4739, -6.284, 7.638
2.5321, -6.0236, 7.57
3.5435, -5.5836, 7.5011
4.4774, -4.9726, 7.4314
5.3046, -4.2044, 7.361
5.9987, -3.2978, 7.2897
6.5364, -2.2762, 7.2176
6.8987, -1.1668, 7.1447
7.0711, -0.0, 7.0711
7.0447, 1.1915, 6.9966
6.8161, 2.3736, 6.9214
6.388, 3.5118, 6.8455
5.7687, 4.5723, 6.7688
4.9726, 5.5226, 6.6913
4.0193, 6.3334, 6.6131
2.9335, 6.9785, 6.5342
1.7441, 7.4362, 6.4546
0.4838, 7.6899, 6.3742
-0.8123, 7.7289, 6.2932
-2.1075, 7.5482, 6.2115
-3.3643, 7.1495, 6.1291
-4.5459, 6.5407, 6.046
-5.617, 5.7359, 5.9622
-6.5451, 4.7553, 5.8779
-7.3012, 3.6243, 5.7928
-7.861, 2.3734, 5.7071
-8.2056, 1.0366, 5.6208
-8.3219, -0.3488, 5.5339
-8.2034, -1.7437, 5.4464
-7.8504, -3.1082, 5.3583
-7.2697, -4.4027, 5.2696
-6.4751, -5.5891, 5.1803
-5.4866, -6.6321, 5.0904
-4.3301, -7.5, 5.0
-3.0368, -8.1657, 4.909
-1.642, -8.6078, 4.8175
-0.1846, -8.8111, 4.7255
1.2946, -8.767, 4.633
2.7534, -8.474, 4.5399
4.1498, -7.9378, 4.4464
5.4433, -7.1713, 4.3523
6.5959, -6.194, 4.2578
7.5732, -5.0316, 4.1628
8.3457, -3.7157, 4.0674
8.8892, -2.2824, 3.9715
9.1863, -0.7714, 3.8752
9.2262, 0.7747, 3.7784
9.0057, 2.3123, 3.6812
8.5287, 3.7972, 3.5837
7.8068, 5.1868, 3.4857
6.8587, 6.4408, 3.3874
5.7097, 7.5222, 3.2887
4.391, 8.3992, 3.1896
2.9389, 9.0451, 3.0902
1.394, 9.44, 2.9904
-0.2005, 9.5711, 2.8903
-1.7994, 9.4328, 2.7899
-3.3573, 9.0275, 2.6892
-4.8296, 8.3652, 2.5882
-6.174, 7.4631, 2.4869
-7.3514, 6.3456, 2.3853
-8.3276, 5.0434, 2.2835
-9.0738, 3.5926, 2.1814
-9.5677, 2.0337, 2.0791
-9.7941, 0.4105, 1.9766
-9.7454, -1.2311, 1.8738
-9.4219, -2.8446, 1.7708
-8.8317, -4.3841, 1.6677
-7.9906, -5.8055, 1.5643
-6.9216, -7.0681, 1.4608
-5.6543, -8.1355, 1.3572
-4.2242, -8.9769, 1.2533
-2.6714, -9.5678, 1.1494
-1.0396, -9.8907, 1.0453
0.6251, -9.936, 0.9411
2.2755, -9.7016, 0.8368
3.8647, -9.1939, 0.7324
5.3477, -8.4266, 0.6279
6.6821, -7.4213, 0.5234
7.8301, -6.206, 0.4188
8.7587, -4.8152, 0.3141
9.4417, -3.2879, 0.2094
9.8594, -1.6676, 0.1047
10.0, -0.0, 0.0
9.8594, 1.6676, -0.1047
9.4417, 3.2879, -0.2094
8.7587, 4.8152, -0.3141
7.8301, 6.206, -0.4188
6.6821, 7.4213, -0.5234
5.3477, 8.4266, -0.6279
3.8647, 9.1939, -0.7324
2.2755, 9.7016, -0.8368
0.6251, 9.936, -0.9411
-1.0396, 9.8907, -1.0453
-2.6714, 9.5678, -1.1494
-4.2242, 8.9769, -1.2533
-5.6543, 8.1355, -1.3572
-6.9216, 7.0681, -1.4608
-7.9906, 5.8055, -1.5643
-8.8317, 4.3841, -1.6677
-9.4219, 2.8446, -1.7708
-9.7454, 1.2311, -1.8738
-9.7941, -0.4105, -1.9766
-9.5677, -2.0337, -2.0791
-9.0738, -3.5926, -2.1814
-8.3276, -5.0434, -2.2835
-7.3514, -6.3456, -2.3853
-6.174, -7.4631, -2.4869
-4.8296, -8.3652, -2.5882
-3.3573, -9.0275, -2.6892
-1.7994, -9.4328, -2.7899
-0.2005, -9.5711, -2.8903
1.394, -9.44, -2.9904
2.9389, -9.0451, -3.0902
4.391, -8.3992, -3.1896
5.7097, -7.5222, -3.2887
6.8587, -6.4408, -3.3874
7.8068, -5.1868, -3.4857
8.5287, -3.7972, -3.5837
9.0057, -2.3123, -3.6812
9.2262, -0.7747, -3.7784
9.1863, 0.7714, -3.8752
8.8892, 2.2824, -3.9715
8.3457, 3.7157, -4.0674
7.5732, 5.0316, -4.1628
6.5959, 6.194, -4.2578
5.4433, 7.1713, -4.3523
4.1498, 7.9378, -4.4464
2.7534, 8.474, -4.5399
1.2946, 8.767, -4.633
-0.1846, 8.8111, -4.7255
-1.642, 8.6078, -4.8175
-3.0368, 8.1657, -4.909
-4.3301, 7.5, -5.0
-5.4866, 6.6321, -5.0904
-6.4751, 5.5891, -5.1803
-7.2697, 4.4027, -5.2696
-7.8504, 3.1082, -5.3583
-8.2034, 1.7437, -5.4464
-8.3219, 0.3488, -5.5339
-8.2056, -1.0366, -5.6208
-7.861, -2.3734, -5.7071
-7.3012, -3.6243, -5.7928
-6.5451, -4.7553, -5.8779
-5.617, -5.7359, -5.9622
-4.5459, -6.5407, -6.046
-3.3643, -7.1495, -6.1291
-2.1075, -7.5482, -6.2115
-0.8123, -7.7289, -6.2932
0.4838, -7.6899, -6.3742
1.7441, -7.4362, -6.4546
2.9335, -6.9785, -6.5342
4.0193, -6.3334, -6.6131
4.9726, -5.5226, -6.6913
5.7687, -4.5723, -6.7688
6.388, -3.5118, -6.8455
6.8161, -2.3736, -6.9214
7.0447, -1.1915, -6.9966
7.0711, -0.0, -7.0711
6.8987, 1.1668, -7.1447
6.5364, 2.2762, -7.2176
5.9987, 3.2978, -7.2897
5.3046, 4.2044, -7.361
4.4774, 4.9726, -7.4314
3.5435, 5.5836, -7.5011
2.5321, 6.0236, -7.57
1.4739, 6.284, -7.638
0.4002, 6.3617, -7.7051
-0.6578, 6.2587, -7.7715
