// Rose Curve (r = cos(5θ)) - 5-petal flower pattern
// Select all coordinate lines below and run VCAG with "Connect Lines" enabled

1.0, 0.0
0.9872, 0.031
0.9492, 0.0597
0.8871, 0.0839
0.8026, 0.1014
0.6984, 0.1106
0.5774, 0.1101
0.4431, 0.099
0.2993, 0.0768
0.1502, 0.0436
0.0, 0.0
-0.1472, -0.053
-0.2873, -0.1138
-0.4167, -0.1803
-0.5318, -0.2503
-0.63, -0.321
-0.7089, -0.3897
-0.7669, -0.4536
-0.803, -0.5096
-0.8169, -0.5552
-0.809, -0.5878
-0.7804, -0.6054
-0.7328, -0.6062
-0.6684, -0.5892
-0.5897, -0.5538
-0.5, -0.5
-0.4024, -0.4285
-0.3002, -0.3405
-0.197, -0.2381
-0.0959, -0.1236
-0.0, -0.0
0.0879, 0.1294
0.1656, 0.2609
0.2311, 0.3908
0.2832, 0.5151
0.321, 0.63
0.3445, 0.732
0.3539, 0.8177
0.3501, 0.8843
0.3346, 0.9293
0.309, 0.9511
0.2756, 0.9485
0.2365, 0.9212
0.1944, 0.8695
0.1516, 0.7947
0.1106, 0.6984
0.0737, 0.5832
0.0427, 0.452
0.0194, 0.3084
0.0049, 0.1564
0.0, 0.0
0.0049, -0.1564
0.0194, -0.3084
0.0427, -0.452
0.0737, -0.5832
0.1106, -0.6984
0.1516, -0.7947
0.1944, -0.8695
0.2365, -0.9212
0.2756, -0.9485
0.309, -0.9511
0.3346, -0.9293
0.3501, -0.8843
0.3539, -0.8177
0.3445, -0.732
0.321, -0.63
0.2832, -0.5151
0.2311, -0.3908
0.1656, -0.2609
0.0879, -0.1294
0.0, -0.0
-0.0959, 0.1236
-0.197, 0.2381
-0.3002, 0.3405
-0.4024, 0.4285
-0.5, 0.5
-0.5897, 0.5538
-0.6684, 0.5892
-0.7328, 0.6062
-0.7804, 0.6054
-0.809, 0.5878
-0.8169, 0.5552
-0.803, 0.5096
-0.7669, 0.4536
-0.7089, 0.3897
-0.63, 0.321
-0.5318, 0.2503
-0.4167, 0.1803
-0.2873, 0.1138
-0.1472, 0.053
-0.0, 0.0
0.1502, -0.0436
0.2993, -0.0768
0.4431, -0.099
0.5774, -0.1101
0.6984, -0.1106
0.8026, -0.1014
0.8871, -0.0839
0.9492, -0.0597
0.9872, -0.031
1.0, -0.0
0.9872, 0.031
0.9492, 0.0597
0.8871, 0.0839
0.8026, 0.1014
0.6984, 0.1106
0.5774, 0.1101
0.4431, 0.099
0.2993, 0.0768
0.1502, 0.0436
0.0, 0.0
-0.1472, -0.053
-0.2873, -0.1138
-0.4167, -0.1803
-0.5318, -0.2503
-0.63, -0.321
-0.7089, -0.3897
-0.7669, -0.4536
-0.803, -0.5096
-0.8169, -0.5552
-0.809, -0.5878
-0.7804, -0.6054
-0.7328, -0.6062
-0.6684, -0.5892
-0.5897, -0.5538
-0.5, -0.5
-0.4024, -0.4285
-0.3002, -0.3405
-0.197, -0.2381
-0.0959, -0.1236
0.0, 0.0
0.0879, 0.1294
0.1656, 0.2609
0.2311, 0.3908
0.2832, 0.5151
0.321, 0.63
0.3445, 0.732
0.3539, 0.8177
0.3501, 0.8843
0.3346, 0.9293
0.309, 0.9511
0.2756, 0.9485
0.2365, 0.9212
0.1944, 0.8695
0.1516, 0.7947
0.1106, 0.6984
0.0737, 0.5832
0.0427, 0.452
0.0194, 0.3084
0.0049, 0.1564
0.0, 0.0
0.0049, -0.1564
0.0194, -0.3084
0.0427, -0.452
0.0737, -0.5832
0.1106, -0.6984
0.1516, -0.7947
0.1944, -0.8695
0.2365, -0.9212
0.2756, -0.9485
0.309, -0.9511
0.3346, -0.9293
0.3501, -0.8843
0.3539, -0.8177
0.3445, -0.732
0.321, -0.63
0.2832, -0.5151
0.2311, -0.3908
0.1656, -0.2609
0.0879, -0.1294
-0.0, 0.0
-0.0959, 0.1236
-0.197, 0.2381
-0.3002, 0.3405
-0.4024, 0.4285
-0.5, 0.5
-0.5897, 0.5538
-0.6684, 0.5892
-0.7328, 0.6062
-0.7804, 0.6054
-0.809, 0.5878
-0.8169, 0.5552
-0.803, 0.5096
-0.7669, 0.4536
-0.7089, 0.3897
-0.63, 0.321
-0.5318, 0.2503
-0.4167, 0.1803
-0.2873, 0.1138
-0.1472, 0.053
-0.0, 0.0
0.1502, -0.0436
0.2993, -0.0768
0.4431, -0.099
0.5774, -0.1101
0.6984, -0.1106
0.8026, -0.1014
0.8871, -0.0839
0.9492, -0.0597
0.9872, -0.031
1.0, -0.0
